open_mower_ros  | [INFO] [1781530147.157205585]: waiting for gps. current accuracy: 0.0282843
open_mower_ros  | [WARN] [1781530147.161477504]: Last GPS was 577.908 seconds ago.
open_mower_ros  | [INFO] [1781530148.157299369]: waiting for gps. current accuracy: 0.0282843
open_mower_ros  | [INFO] [1781530148.157419144]: GPS data now valid
open_mower_ros  | [INFO] [1781530148.157518086]: First GPS data, moving kalman filter to 16.6415, 1.07942
open_mower_ros  | [INFO] [1781530149.157290728]: Got good gps, let's go
open_mower_ros  | [INFO] [1781530150.643698961]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=0.099014
open_mower_ros  | [2026-06-15 13:29:13] [connect] WebSocket Connection [fe80::141f:4867:d9f6:7e57%wlan0]:59204 v13 "Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/149.0.7827.137 Mobile/15E148 Safari/604.1" / 101
Mosquitto       | 1781530153: New connection from 172.19.0.1:60496 on port 9001.
Mosquitto       | 1781530153: New client connected from 172.19.0.1:60496 as mqttjs_0c668559 (p4, c1, k60).
open_mower_ros  | [INFO] [1781530154.158981543]: new actions registered: mower_logic:undocking registered 0 actions.
open_mower_ros  | [INFO] [1781530154.159632676]: successfully registered actions for mower_logic:undocking
open_mower_ros  | [INFO] [1781530154.159674082]: 
open_mower_ros  | [INFO] [1781530154.159897318]: 
open_mower_ros  | [INFO] [1781530154.159930521]: --------------------------------------
open_mower_ros  | [INFO] [1781530154.160028815]: - Entered state: MOWING
open_mower_ros  | [INFO] [1781530154.160053092]: --------------------------------------
open_mower_ros  | [INFO] [1781530154.162427795]: new actions registered: mower_logic:mowing registered 6 actions.
open_mower_ros  | [INFO] [1781530154.163049428]: successfully registered actions for mower_logic:mowing
open_mower_ros  | [INFO] [1781530154.163280497]: MowingBehavior: Creating mowing plan for area: 0
open_mower_ros  | [INFO] [1781530154.165390947]: Got getMowingArea call with index: 0
open_mower_ros  | [INFO] [1781530154.165992229]: MowingBehavior: Detected mow angle: 0.223041
open_mower_ros  | [INFO] [1781530154.166030339]: MowingBehavior: mowing angle offset (deg): 0
open_mower_ros  | [INFO] [1781530154.166072709]: MowingBehavior: Auto-detected mowing angle + mowing angle offset: 0.223041
open_mower_ros  | [INFO] [1781530154.166096541]: MowingBehavior: using fill pattern 0
open_mower_ros  | [INFO] [1781530154.168891531]: generating 3 outlines
open_mower_ros  | [INFO] [1781530154.175531818]: Starting Fill. Poly size:443
open_mower_ros  | slic3r_coverage_planner: /opt/slic3r_coverage_planner_workspace/build/Slic3r/src/Slic3r/xs/src/libslic3r/Point.cpp:325: Slic3r::coord_t Slic3r::_align_to_grid(Slic3r::coord_t, Slic3r::coord_t): Assertion `spacing > 0' failed.
open_mower_ros  | [ERROR] [1781530154.180952079]: MowingBehavior: Error during coverage planning
open_mower_ros  | [INFO] [1781530154.180999781]: MowingBehavior: Could not create mowing plan, docking
open_mower_ros  | [INFO] [1781530154.183539221]: MowingBehavior: Finished semiautomatic task
open_mower_ros  | [INFO] [1781530154.185202534]: new actions registered: mower_logic:mowing registered 6 actions.
open_mower_ros  | [INFO] [1781530154.185765169]: successfully registered actions for mower_logic:mowing
open_mower_ros  | [INFO] [1781530154.185847130]: 
open_mower_ros  | [INFO] [1781530154.185866166]: 
open_mower_ros  | [INFO] [1781530154.185984534]: --------------------------------------
open_mower_ros  | [INFO] [1781530154.186005404]: - Entered state: DOCKING
open_mower_ros  | [INFO] [1781530154.186019681]: --------------------------------------
open_mower_ros  | [INFO] [1781530154.187983135]: Getting Docking Point
open_mower_ros  | [INFO] [1781530154.189643429]: new actions registered: mower_logic:docking registered 1 actions.
open_mower_ros  | [INFO] [1781530154.190179879]: successfully registered actions for mower_logic:docking
open_mower_ros  | [WARN] [1781530154.190250192]: Waiting for good GPS
open_mower_ros  | [slic3r_coverage_planner-12] process has died [pid 387, exit code -6, cmd /opt/prebuilt/slic3r_coverage_planner/lib/slic3r_coverage_planner/slic3r_coverage_planner __name:=slic3r_coverage_planner __log:=/data/ros/log/892a8ed4-68ba-11f1-b7a2-2ccf67c33cd0/slic3r_coverage_planner-12.log].
open_mower_ros  | log file: /data/ros/log/892a8ed4-68ba-11f1-b7a2-2ccf67c33cd0/slic3r_coverage_planner-12*.log
open_mower_ros  | [INFO] [1781530154.444473749]: GPS quality: 0.858579
open_mower_ros  | [INFO] [1781530155.190362253]: Calculating approach path
open_mower_ros  | [INFO] [1781530155.199646255]: FTCLocalPlannerROS: Got new global plan with 58 points.
open_mower_ros  | [INFO] [1781530155.200108355]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
open_mower_ros  | [INFO] [1781530155.200290184]: FTCLocalPlannerROS: Switching to state 1
open_mower_ros  | [INFO] [1781530160.643698384]: xbot_positioning state: has_gyro=1 has_ticks=0 has_gps=1 imu_calibration_age_s=-1 gps_age_s=0.0115349
open_mower_ros  | [INFO] [1781530163.098030754]: FTCLocalPlannerROS: switching planner to position mode
open_mower_ros  | [INFO] [1781530163.098105233]: FTCLocalPlannerROS: Switching to state 2
open_mower_ros  | [INFO] [1781530163.148023028]: FTCLocalPlannerROS: Reached goal position.
open_mower_ros  | [INFO] [1781530163.148097304]: FTCLocalPlannerROS: Switching to state 3
open_mower_ros  | [INFO] [1781530163.198023857]: FTCLocalPlannerROS: POST_ROTATE finished.
open_mower_ros  | [INFO] [1781530163.198092282]: FTCLocalPlannerROS: Switching to state 4
open_mower_ros  | [INFO] [1781530163.248103037]: Action "move_base" succeeded!
open_mower_ros  | [INFO] [1781530163.290522642]: Executing Docking Approach
open_mower_ros  | [INFO] [1781530163.296950561]: FTCLocalPlannerROS: Got new global plan with 11 points.
open_mower_ros  | [INFO] [1781530163.297038318]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
open_mower_ros  | [INFO] [1781530163.297066706]: FTCLocalPlannerROS: Switching to state 1
open_mower_ros  | [slic3r_coverage_planner-12] restarting process
open_mower_ros  | process[slic3r_coverage_planner-12]: started with pid [409]
open_mower_ros  | [INFO] [1781530164.444469714]: GPS quality: 0.858579
open_mower_ros  | [INFO] [1781530169.994258617]: FTCLocalPlannerROS: switching planner to position mode
open_mower_ros  | [INFO] [1781530169.994383947]: FTCLocalPlannerROS: Switching to state 2
open_mower_ros  | [INFO] [1781530170.044255595]: FTCLocalPlannerROS: Reached goal position.
open_mower_ros  | [INFO] [1781530170.044377129]: FTCLocalPlannerROS: Switching to state 3
open_mower_ros  | [INFO] [1781530170.094261629]: FTCLocalPlannerROS: POST_ROTATE finished.
open_mower_ros  | [INFO] [1781530170.094383052]: FTCLocalPlannerROS: Switching to state 4
open_mower_ros  | [INFO] [1781530170.193320145]: successfully set GPS to 0
