mowgli-openmower | [WARN] [1726489429.721929]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489429.728338]: Expected Checksum: 0x63D5C7
mowgli-openmower | [WARN] [1726489429.734891]: Actual Checksum:   0x255563
mowgli-openmower | [WARN] [1726489430.800501]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489430.804935]: Expected Checksum: 0xE9AA0A
mowgli-openmower | [WARN] [1726489430.808845]: Actual Checksum:   0x6A9E49
mowgli-openmower | [WARN] [1726489430.813178]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489430.817065]: Expected Checksum: 0x914EEF
mowgli-openmower | [WARN] [1726489430.820800]: Actual Checksum:   0x420714
mowgli-openmower | [ INFO] [1726489432.257639322]: GPS quality: 0.93
mowgli-openmower | [WARN] [1726489432.700253]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489432.704288]: Expected Checksum: 0xE1A874
mowgli-openmower | [WARN] [1726489432.708338]: Actual Checksum:   0xC68CD8
mowgli-openmower | [ WARN] [1726489432.761028602]: No velocity command received from controller!
mowgli-openmower | [WARN] [1726489432.800191]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489432.804513]: Expected Checksum: 0x1C811A
mowgli-openmower | [WARN] [1726489432.809118]: Actual Checksum:   0x1A64DC
mowgli-openmower | [ WARN] [1726489434.710965302]: The controller has been aborted after it exceeded the patience time
mowgli-openmower | [ WARN] [1726489434.712062609]: No Recovery Behaviors loaded!
mowgli-openmower | [ WARN] [1726489434.712286497]: Abort the execution of the controller:
mowgli-openmower | [ INFO] [1726489434.744609822]: MowingBehavior: (FIRST POINT)  Got status 5 from MBF/FTCPlanner -> Stopping path execution.
mowgli-openmower | [ERROR] [1726489434.744870024]: MowingBehavior: (FIRST POINT) - Could not reach goal (first point). Planner Status was: 5
mowgli-openmower | [ WARN] [1726489434.745130985]: MowingBehavior: (FIRST POINT) - Attempt 1 / 3 Making a little pause ...
mowgli-openmower | [ INFO] [1726489434.748909439]: new actions registered: mower_logic:mowing registered 5 actions.
mowgli-openmower | [ INFO] [1726489434.750504039]: successfully registered actions for mower_logic:mowing
mowgli-openmower | [ INFO] [1726489434.750704612]: MowingBehavior: CONTINUING
mowgli-openmower | [ INFO] [1726489434.754894508]: new actions registered: mower_logic:mowing registered 5 actions.
mowgli-openmower | [ INFO] [1726489434.756950771]: successfully registered actions for mower_logic:mowing
mowgli-openmower | [ INFO] [1726489434.757655358]: MowingBehavior: Path segment length: 636 poses.
mowgli-openmower | [ INFO] [1726489434.757755728]: MowingBehavior: (FIRST POINT)  Moving to path segment starting point
mowgli-openmower | [ INFO] [1726489434.780073254]: FTCLocalPlannerROS: Got new global plan with 83 points.
mowgli-openmower | [ INFO] [1726489434.780764749]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
mowgli-openmower | [ INFO] [1726489434.780890285]: FTCLocalPlannerROS: Switching to state 1
mowgli-openmower | [ WARN] [1726489438.267189304]: got vx > 0.6 (-0.916667) - dropping measurement
mowgli-openmower | [ WARN] [1726489438.288888853]: got vx > 0.6 (-0.833333) - dropping measurement
mowgli-openmower | [WARN] [1726489438.700638]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489438.707155]: Expected Checksum: 0xBF97FD
mowgli-openmower | [WARN] [1726489438.713192]: Actual Checksum:   0x53DF93
mowgli-openmower | [ INFO] [1726489442.257711819]: GPS quality: 0.93
mowgli-openmower | [ WARN] [1726489442.533364279]: got vx > 0.6 (0.634921) - dropping measurement
mowgli-openmower | [ INFO] [1726489445.976069461]: FTCLocalPlannerROS: switching planner to position mode
mowgli-openmower | [ INFO] [1726489445.976288644]: FTCLocalPlannerROS: Switching to state 2
mowgli-openmower | [ WARN] [1726489446.022876349]: got vx > 0.6 (-27.3148) - dropping measurement
mowgli-openmower | [ INFO] [1726489446.025224055]: FTCLocalPlannerROS: Reached goal position.
mowgli-openmower | [ INFO] [1726489446.025998697]: FTCLocalPlannerROS: Switching to state 3
mowgli-openmower | [ WARN] [1726489446.044641268]: got vx > 0.6 (-24.5833) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.064969808]: got vx > 0.6 (-16.3611) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.086103194]: got vx > 0.6 (-12.1399) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.106913694]: got vx > 0.6 (-9.62418) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.127774990]: got vx > 0.6 (-7.99458) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.148735822]: got vx > 0.6 (-6.81713) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.170491944]: got vx > 0.6 (-5.92369) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.190870428]: got vx > 0.6 (-5.27778) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.211394097]: got vx > 0.6 (-4.74235) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.232847759]: got vx > 0.6 (-4.29825) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.255620985]: got vx > 0.6 (-3.90438) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.276944777]: got vx > 0.6 (-3.60294) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.297425891]: got vx > 0.6 (-3.34471) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.318205539]: got vx > 0.6 (-3.11571) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.339613701]: got vx > 0.6 (-2.91542) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.360960382]: got vx > 0.6 (-2.74813) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.381433958]: got vx > 0.6 (-2.59063) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.401570592]: got vx > 0.6 (-2.45592) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.421809133]: got vx > 0.6 (-2.34374) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.442516133]: got vx > 0.6 (-2.22749) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.464288404]: got vx > 0.6 (-2.11726) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.485678974]: got vx > 0.6 (-2.02477) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.505487055]: got vx > 0.6 (-1.94057) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.526554793]: got vx > 0.6 (-1.86246) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.548643654]: got vx > 0.6 (-1.78403) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.568936972]: got vx > 0.6 (-1.71778) - dropping measurement
mowgli-openmower | [ WARN] [1726489446.589823657]: got vx > 0.6 (-1.65893) - dropping measurement
