# Attachments whose bytes differ from the copy originally archived in Git LFS.
# Discord re-encodes attachments, so these are the same file in a different
# encoding, not corrupt data; all of them decode cleanly. The Git LFS original
# is no longer reachable, so the copy recorded here is the surviving one.
#path	expectedOid	actualOid	expectedSize	actualSize
1119635118517137528/1122786207529717830-761C93C2-5C9C-45F9-8E53-EEAAED1D08DE.jpg	f3e775cb0f18f972db600898740a22ec74b989a90e373951177c6afa3162fdd8	0bdbe9de7c5a6ab36823a786dbd1d0bd5be5470f472550c2660e2f2e3049e4f0	3635942	4821086
1127676982025539594/1370762998234349670-IMG_5564.jpg	ca07465e4cd99388e656d8052e0ef43f9275665470d3fa1823d99d5494586fc0	dc4f2226f0937f2058816384742cf39eca3ba3c456f8ebac0d6df614aa9fb364	2697453	3316770
1216415889872785548/1384487351459381308-IMG_0283.jpg	4177b176ebd96153ef302928a1970679a67dd7a8a214bb079396119b7152ce56	6d3b6dc4575211c62813a564332b39ce9aea2b9feaec539fa59c305b530feb8e	3248173	4052659
1216415889872785548/1384487352038326342-IMG_0284.jpg	86e529441fe159a29321392ebbe4f73627ae42edc22a6707abaed59b21457406	36b3814be739c5ed6ac8dcc9a7a3b3f75f73e781236295ae2c00da54dbb9a726	2687428	3714904
1247183262741430406/1520083958908457184-image.png	fd6fdd13af4105506a71c4f00b3f19750ca225042a5649fe560336be2f79e4b9	ed7b630418fb238a85e5813745a37d4c9e9924389b5475256dd4e3a5505be499	22361	22309
1247183262741430406/1520084293072977970-image.png	f0a579e085dc13b433c53d44ecdb918133c16ba11ba76cdc859c20a46a04ee5c	ed1c2ad7e088d5aac29a84efe9f8727cf415ecd74d3ec51be09333e2e056f3af	53460	53404
1263930527170166794/1263930799757983805-8317CA5B-6D61-486E-A3BE-6CB3A7E9E407.jpg	f10043be82d99d22e3e446e22c62b52789bd5b2717808e7be9d83ca6820e3e0c	3690986c184f1619849ab359745df9af5654b110344fd2538dc45e73cd7430ea	2581717	3429680
1263930527170166794/1263930800852701324-09937FAF-245A-40C8-B35F-BE5FB09BFC13.jpg	84907b6b338b6d9974f2c2641a6cad6ec81171ac1032859e915ab9fb39043c32	5a4f0400f6f7f1542c964b1ce4bc21dca6b828869e781f882c627c4beab34818	2602788	3504666
1263930527170166794/1263930801469395005-CF7E1136-F70E-4049-A47C-E99FF103412C.jpg	eb10a4431d78c8d7a5bd01642a27413e9bbc8b7ea0fbaeeffdef3f4a47ce2132	1bbce77fb302631c2e2bf25b0c46e9c2545fab849c5a1d7163c4874a93f21eed	3689729	4742888
1263930527170166794/1263930802094473326-BBE8A830-279A-493F-8309-B8AB1F2BD0F2.jpg	53123336879eb915e6f3c70b4241b44a84b24fbac6eb6bb5327484f5cbbfc092	41b530c15a8cf02a89ad1329fbb2a849968768e017c71bb319ef8f9e9beacb46	3804345	5011369
1263930527170166794/1263930802853380127-10281E2D-03D5-40D6-B01B-5261A21CEA92.jpg	8a41fe6eb0fd578c691d158e4e426b2dadad15936d0508c2d3e3a35e658507ed	a5adbe6c07bafc6895c311194253b49ffcc1db6510f7d6330e355f1b3973b681	2989588	3756581
1263930527170166794/1263930803402969169-DA52E060-71F6-4164-96CD-81F96BAE5779.jpg	49fa423fa20f831490683d72e6733cf2bd6e4d46717ca50f6b0df43bfbe274ab	b46c7fca67b7527988fde81f198056d0c0ee4fb9474d8ae4c25295a90496d24b	3619380	4204317
1263930527170166794/1264278704339816458-IMG_3903.jpg	832b14bb3301bd6d7d8c104daeb49d748f63a174ab99331c9f913ad4ef613ba9	d7fd6678fa52e4a3818d3264035415ce3d990e9c6c34a02636748da7cab0ba69	2738883	3887118
1263930527170166794/1264278781980311583-IMG_3905.jpg	d26cb86cccf87ba6d4020418bca3cf636fbeb6c492b79be925044cc9329080ff	f82af9d084d92e7bd9d470530bfdbe09e192c3028f5b3aa3773ab00155d83cef	3505040	4995397
