open_mower_ros  | [INFO] [1777227367.787696419]: FTCLocalPlannerROS: Switching to state 2
open_mower_ros  | [INFO] [1777227367.837610282]: FTCLocalPlannerROS: Reached goal position.
open_mower_ros  | [INFO] [1777227367.837679616]: FTCLocalPlannerROS: Switching to state 3
open_mower_ros  | [INFO] [1777227367.887614664]: FTCLocalPlannerROS: POST_ROTATE finished.
open_mower_ros  | [INFO] [1777227367.887677739]: FTCLocalPlannerROS: Switching to state 4
open_mower_ros  | [INFO] [1777227367.985854949]: successfully set GPS to 0
open_mower_ros  | [INFO] [1777227367.991237665]: FTCLocalPlannerROS: Got new global plan with 20 points.
open_mower_ros  | [INFO] [1777227367.991324073]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
open_mower_ros  | [INFO] [1777227367.991360110]: FTCLocalPlannerROS: Switching to state 1
open_mower_ros  | [INFO] [1777227368.141100606]: dropping GPS update, since gps_enabled = false.
open_mower_ros  | [INFO] [1777227368.764120158]: GPS quality: 0.93
open_mower_ros  | [INFO] [1777227369.143548100]: dropping GPS update, since gps_enabled = false.
open_mower_ros  | [WARN] [1777227370.078239607]: Costmap2DROS transform timeout. Current time: 1777227370.0782, global_pose stamp: 1777227369.7429, tolerance: 0.3000
open_mower_ros  | [WARN] [1777227370.764141825]: om_mower_logic: EMERGENCY pose values stopped. dt was: 1.021072479
open_mower_ros  | [WARN] [1777227370.765998342]: [ID=1] Service timed out, removing service.
open_mower_ros  | [INFO] [1777227370.766057750]: PJB: OnServiceDisconnected. ID: 1
open_mower_ros  | [INFO] [1777227370.766186251]: PJB: OnServiceDisconnected. ID: 2
open_mower_ros  | [WARN] [1777227370.766091899]: [ID=2] Service timed out, removing service.
open_mower_ros  | [WARN] [1777227370.766215511]: [ID=3] Service timed out, removing service.
open_mower_ros  | [INFO] [1777227370.766368642]: PJB: OnServiceDisconnected. ID: 3
open_mower_ros  | [WARN] [1777227370.789363148]: Most recent robot pose is 1.04644s old (tolerance 1s)
open_mower_ros  | [ERROR] [1777227370.789449130]: Could not get the robot pose in the global frame. - robot frame: "base_link"   global frame: "map
open_mower_ros  | [FATAL] [1777227370.789593557]: Internal error: Unknown error thrown by the plugin: Could not get the robot pose
open_mower_ros  | [WARN] [1777227370.821099159]: [ID=1] no endpoint for service
open_mower_ros  | [WARN] [1777227370.886146864]: Some error during path execution. Docking failed. status value was: 5
open_mower_ros  | [ERROR] [1777227370.886219865]: Error during docking.
open_mower_ros  | [ERROR] [1777227370.886241624]: Retrying docking. Try 1 / 3
open_mower_ros  | [WARN] [1777227370.886870259]: [ID=2] no endpoint for service
open_mower_ros  | [INFO] [1777227370.888183605]: new actions registered: mower_logic:docking registered 1 actions.
open_mower_ros  | [INFO] [1777227370.888701795]: successfully registered actions for mower_logic:docking
open_mower_ros  | [INFO] [1777227370.888743313]: 
open_mower_ros  | [INFO] [1777227370.888856777]: 
open_mower_ros  | [INFO] [1777227370.888890796]: --------------------------------------
open_mower_ros  | [INFO] [1777227370.888918889]: - Entered state: UNDOCKING
open_mower_ros  | [INFO] [1777227370.888946686]: --------------------------------------
open_mower_ros  | [INFO] [1777227370.890942278]: Getting Docking Point
open_mower_ros  | [INFO] [1777227370.892678849]: new actions registered: mower_logic:undocking registered 0 actions.
open_mower_ros  | [INFO] [1777227370.893117372]: successfully registered actions for mower_logic:undocking
open_mower_ros  | [INFO] [1777227370.893177928]: Random angle undock: Seeded rand()
open_mower_ros  | [INFO] [1777227370.893334485]: Random angle undock: 0
open_mower_ros  | [INFO] [1777227370.898793387]: FTCLocalPlannerROS: Got new global plan with 14 points.
open_mower_ros  | [WARN] [1777227370.898936203]: Most recent robot pose is 1.15602s old (tolerance 1s)
open_mower_ros  | [ERROR] [1777227370.899023444]: Could not get the robot pose in the global frame. - robot frame: "base_link"   global frame: "map
open_mower_ros  | [FATAL] [1777227370.899089371]: Internal error: Unknown error thrown by the plugin: Could not get the robot pose
open_mower_ros  | [ERROR] [1777227370.993772920]: Error during undock
open_mower_ros  | [WARN] [1777227370.994068274]: [ID=2] no endpoint for service
open_mower_ros  | [INFO] [1777227370.995649826]: new actions registered: mower_logic:undocking registered 0 actions.
open_mower_ros  | [INFO] [1777227370.996197997]: successfully registered actions for mower_logic:undocking
open_mower_ros  | [INFO] [1777227370.996240164]: 
open_mower_ros  | [INFO] [1777227370.996256646]: 
open_mower_ros  | [INFO] [1777227370.996276202]: --------------------------------------
open_mower_ros  | [INFO] [1777227370.996294257]: - Entered state: IDLE
open_mower_ros  | [INFO] [1777227370.996309498]: --------------------------------------
open_mower_ros  | [INFO] [1777227370.997870049]: new actions registered: mower_logic:idle registered 2 actions.
open_mower_ros  | [INFO] [1777227370.998276664]: successfully registered actions for mower_logic:idle
open_mower_ros  | [INFO] [1777227370.999928642]: Got getMowingArea call with index: 0
open_mower_ros  | [INFO] [1777227371.003404656]: Getting Docking Point
open_mower_ros  | [INFO] [1777227371.005187709]: successfully set GPS to 0
open_mower_ros  | [WARN] [1777227371.005532434]: [ID=2] no endpoint for service
