sfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398337.358766506]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398337.358853097]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398337.770361522]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398337.858746062]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398337.858828264]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398338.358747195]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398338.358936617]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398338.770325641]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398338.859070083]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398338.859157970]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398339.358669637]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398339.358755598]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398339.770338715]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398339.858988455]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398339.859075342]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398340.358962432]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398340.359054616]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398340.770398315]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398340.861354231]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398340.861488506]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398341.359070297]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398341.359151036]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398341.770587553]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398341.858826693]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398341.858738324]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398342.358854957]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398342.358939510]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398342.770694117]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398342.858710485]: successfully set emergency enabled to 1
